k,rondas,consenso
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
60,4,True
60,4,True
60,4,True
60,4,True
60,4,True
60,4,True
60,4,True
60,4,True
60,4,True
60,4,True
61,4,True
61,4,True
61,4,True
61,4,True
61,4,True
61,4,True
61,4,True
61,4,True
61,4,True
61,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
64,5,True
64,5,True
64,5,True
64,5,True
64,5,True
64,5,True
64,5,True
64,5,True
64,5,True
64,5,True
65,5,True
65,5,True
65,5,True
65,5,True
65,5,True
65,5,True
65,5,True
65,5,True
65,5,True
65,5,True
66,4,True
66,4,True
66,4,True
66,4,True
66,4,True
66,4,True
66,4,True
66,4,True
66,4,True
66,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
71,5,True
71,5,True
71,5,True
71,5,True
71,5,True
71,5,True
71,5,True
71,5,True
71,5,True
71,5,True
72,5,True
72,5,True
72,5,True
72,5,True
72,5,True
72,5,True
72,5,True
72,5,True
72,5,True
72,5,True
73,5,True
73,5,True
73,5,True
73,5,True
73,5,True
73,5,True
73,5,True
73,5,True
73,5,True
73,5,True
74,5,True
74,5,True
74,5,True
74,5,True
74,5,True
74,5,True
74,5,True
74,5,True
74,3,True
74,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
76,3,True
76,3,True
76,3,True
76,3,True
76,3,True
76,3,True
76,3,True
76,3,True
76,3,True
76,3,True
77,3,True
77,3,True
77,3,True
77,3,True
77,3,True
77,3,True
77,3,True
77,3,True
77,3,True
77,3,True
78,3,True
78,3,True
78,3,True
78,3,True
78,3,True
78,3,True
78,3,True
78,3,True
78,3,True
78,3,True
79,3,True
79,3,True
79,3,True
79,3,True
79,3,True
79,3,True
79,3,True
79,3,True
79,3,True
79,3,True
80,3,True
80,3,True
80,3,True
80,3,True
80,3,True
80,3,True
80,3,True
80,3,True
80,3,True
80,3,True
81,3,True
81,3,True
81,3,True
81,3,True
81,3,True
81,3,True
81,3,True
81,3,True
81,3,True
81,3,True
82,3,True
82,3,True
82,3,True
82,3,True
82,3,True
82,3,True
82,3,True
82,3,True
82,3,True
82,3,True
83,3,True
83,3,True
83,3,True
83,3,True
83,3,True
83,3,True
83,3,True
83,3,True
83,3,True
83,3,True
84,3,True
84,3,True
84,3,True
84,3,True
84,3,True
84,3,True
84,3,True
84,3,True
84,3,True
84,3,True
85,3,True
85,3,True
85,3,True
85,3,True
85,3,True
85,3,True
85,3,True
85,3,True
85,3,True
85,3,True
86,3,True
86,3,True
86,3,True
86,3,True
86,3,True
86,3,True
86,3,True
86,3,True
86,3,True
86,3,True
87,3,True
87,3,True
87,3,True
87,3,True
87,3,True
87,3,True
87,3,True
87,3,True
87,3,True
87,3,True
88,3,True
88,3,True
88,3,True
88,3,True
88,3,True
88,3,True
88,3,True
88,3,True
88,3,True
88,3,True
89,3,True
89,3,True
89,3,True
89,3,True
89,3,True
89,3,True
89,3,True
89,3,True
89,3,True
89,3,True
90,3,True
90,3,True
90,3,True
90,3,True
90,3,True
90,3,True
90,3,True
90,3,True
90,3,True
90,3,True
91,3,True
91,3,True
91,3,True
91,3,True
91,3,True
91,3,True
91,3,True
91,3,True
91,3,True
91,3,True
92,3,True
92,3,True
92,3,True
92,3,True
92,3,True
92,3,True
92,3,True
92,3,True
92,3,True
92,3,True
93,3,True
93,3,True
93,3,True
93,3,True
93,3,True
93,3,True
93,3,True
93,3,True
93,3,True
93,3,True
94,3,True
94,3,True
94,3,True
94,3,True
94,3,True
94,3,True
94,3,True
94,3,True
94,3,True
94,3,True
95,3,True
95,3,True
95,3,True
95,3,True
95,3,True
95,3,True
95,3,True
95,3,True
95,3,True
95,3,True
96,3,True
96,3,True
96,3,True
96,3,True
96,3,True
96,3,True
96,3,True
96,3,True
96,3,True
96,3,True
97,3,True
97,3,True
97,3,True
97,3,True
97,3,True
97,3,True
97,3,True
97,3,True
97,3,True
97,3,True
98,3,True
98,3,True
98,3,True
98,3,True
98,3,True
98,3,True
98,3,True
98,3,True
98,3,True
98,3,True
99,3,True
99,3,True
99,3,True
99,3,True
99,3,True
99,3,True
99,3,True
99,3,True
99,3,True
99,3,True
100,3,True
100,3,True
100,3,True
100,3,True
100,3,True
100,3,True
100,3,True
100,3,True
100,3,True
100,3,True
101,3,True
101,3,True
101,3,True
101,3,True
101,3,True
101,3,True
101,3,True
101,3,True
101,3,True
101,3,True
102,3,True
102,3,True
102,3,True
102,3,True
102,3,True
102,3,True
102,3,True
102,3,True
102,3,True
102,3,True
103,3,True
103,3,True
103,3,True
103,3,True
103,3,True
103,3,True
103,3,True
103,3,True
103,3,True
103,3,True
104,3,True
104,3,True
104,3,True
104,3,True
104,3,True
104,3,True
104,3,True
104,3,True
104,3,True
104,3,True
105,3,True
105,3,True
105,3,True
105,3,True
105,3,True
105,3,True
105,3,True
105,3,True
105,3,True
105,3,True
106,3,True
106,3,True
106,3,True
106,4,True
106,4,True
106,4,True
106,4,True
106,4,True
106,4,True
106,4,True
107,4,True
107,4,True
107,4,True
107,4,True
107,4,True
107,4,True
107,4,True
107,4,True
107,4,True
107,4,True
108,4,True
108,4,True
108,4,True
108,4,True
108,4,True
108,4,True
108,4,True
108,4,True
108,4,True
108,4,True
109,4,True
109,4,True
109,4,True
109,4,True
109,4,True
109,4,True
109,4,True
109,4,True
109,4,True
109,4,True
110,4,True
110,4,True
110,4,True
110,4,True
110,4,True
110,4,True
