k,rondas,consenso
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
58,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
59,4,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
60,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
61,5,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
62,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
63,4,True
