k,rondas,consenso
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
58,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
59,3,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
61,3,True
62,3,True
62,3,True
62,3,True
62,3,True
62,3,True
62,3,True
62,3,True
62,3,True
62,3,True
62,3,True
63,2,True
63,2,True
63,2,True
63,2,True
63,2,True
63,2,True
63,2,True
63,2,True
63,2,True
63,2,True
64,2,True
64,2,True
64,2,True
64,2,True
64,2,True
64,2,True
64,2,True
64,2,True
64,2,True
64,2,True
65,2,True
65,2,True
65,2,True
65,2,True
65,3,True
65,3,True
65,3,True
65,3,True
65,3,True
65,3,True
66,3,True
66,3,True
66,3,True
66,3,True
66,3,True
66,3,True
66,3,True
66,3,True
66,3,True
66,3,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
67,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
68,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
69,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
70,4,True
71,3,True
71,3,True
71,3,True
71,3,True
71,3,True
71,3,True
71,3,True
71,3,True
71,3,True
71,3,True
72,3,True
72,3,True
72,3,True
72,3,True
72,3,True
72,3,True
72,3,True
72,3,True
72,3,True
72,3,True
73,3,True
73,3,True
73,3,True
73,3,True
73,3,True
73,3,True
73,3,True
73,3,True
73,3,True
73,3,True
74,3,True
74,3,True
74,3,True
74,3,True
74,3,True
74,3,True
74,3,True
74,3,True
74,3,True
74,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
75,3,True
76,3,True
76,3,True
76,3,True
