k,p,rondas,consenso
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,3,18,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,4,5,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,5,6,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,4,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,6,5,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
58,7,4,True
