p,rondas,consenso
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,12,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
220,8,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,9,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
221,10,True
