k,rondas,consenso
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
58,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
59,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
60,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,3,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
61,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
62,2,True
