n,a,rondas,consenso
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
100,0.100000,93,True
