n,rondas,consenso
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
100,14,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
200,10,True
