n,rondas,consenso
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,8,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
400,7,True
