n,Rondas,Consenso
4,2,True
4,8,True
4,7,True
4,2,True
4,1,True
4,3,True
4,22,True
4,4,True
4,1,True
4,6,True
4,1,True
4,1,True
4,7,True
4,4,True
4,1,True
4,1,True
4,5,True
4,6,True
4,1,True
4,1,True
4,2,True
4,2,True
4,1,True
4,1,True
4,7,True
4,3,True
4,10,True
4,1,True
4,1,True
4,3,True
4,2,True
4,8,True
4,3,True
4,5,True
4,4,True
4,5,True
4,2,True
4,1,True
4,2,True
4,2,True
4,1,True
4,1,True
4,1,True
4,1,True
4,1,True
4,5,True
4,3,True
4,11,True
4,3,True
4,3,True
4,2,True
4,3,True
4,4,True
4,1,True
4,5,True
4,1,True
4,3,True
4,6,True
4,1,True
4,15,True
4,1,True
4,4,True
4,4,True
4,1,True
4,4,True
4,2,True
4,7,True
4,15,True
4,1,True
4,8,True
4,1,True
4,3,True
4,1,True
4,2,True
4,1,True
4,5,True
4,9,True
4,2,True
4,2,True
4,3,True
4,5,True
4,4,True
4,1,True
4,3,True
4,13,True
4,1,True
4,1,True
4,1,True
4,18,True
4,7,True
4,1,True
4,5,True
4,1,True
4,4,True
4,2,True
4,1,True
4,1,True
4,1,True
4,1,True
4,13,True
8,7,True
8,7,True
8,6,True
8,2,True
8,2,True
8,1,True
8,3,True
8,23,True
8,7,True
8,3,True
8,18,True
8,5,True
8,11,True
8,9,True
8,4,True
8,5,True
8,11,True
8,11,True
8,8,True
8,3,True
8,24,True
8,10,True
8,6,True
8,4,True
8,4,True
8,26,True
8,5,True
8,9,True
8,1,True
8,10,True
8,4,True
8,2,True
8,1,True
8,15,True
8,13,True
8,11,True
8,2,True
8,4,True
8,8,True
8,1,True
8,7,True
8,3,True
8,26,True
8,3,True
8,3,True
8,5,True
8,6,True
8,19,True
8,6,True
8,10,True
8,8,True
8,14,True
8,3,True
8,8,True
8,2,True
8,18,True
8,6,True
8,2,True
8,13,True
8,7,True
8,1,True
8,6,True
8,9,True
8,3,True
8,13,True
8,5,True
8,3,True
8,2,True
8,4,True
8,7,True
8,7,True
8,1,True
8,11,True
8,8,True
8,6,True
8,9,True
8,7,True
8,7,True
8,2,True
8,8,True
8,2,True
8,13,True
8,3,True
8,11,True
8,11,True
8,12,True
8,12,True
8,4,True
8,7,True
8,16,True
8,11,True
8,13,True
8,18,True
8,4,True
8,7,True
8,8,True
8,5,True
8,4,True
8,17,True
8,10,True
16,2,True
16,7,True
16,22,True
16,29,True
16,6,True
16,14,True
16,5,True
16,11,True
16,15,True
16,50,True
16,11,True
16,25,True
16,36,True
16,10,True
16,4,True
16,4,True
16,15,True
16,8,True
16,9,True
16,13,True
16,15,True
16,16,True
16,5,True
16,20,True
16,20,True
16,10,True
16,13,True
16,28,True
16,15,True
16,9,True
16,15,True
16,44,True
16,46,True
16,17,True
16,32,True
16,27,True
16,14,True
16,5,True
16,24,True
16,6,True
16,23,True
16,54,True
16,9,True
16,23,True
16,6,True
16,12,True
16,23,True
16,46,True
16,9,True
16,8,True
16,9,True
16,20,True
16,4,True
16,9,True
16,11,True
16,7,True
16,4,True
16,9,True
16,36,True
16,11,True
16,15,True
16,8,True
16,57,True
16,24,True
16,6,True
16,4,True
16,17,True
16,33,True
16,6,True
16,17,True
16,8,True
16,31,True
16,31,True
16,4,True
16,8,True
16,48,True
16,29,True
16,5,True
16,8,True
16,33,True
16,18,True
16,3,True
16,19,True
16,38,True
16,5,True
16,14,True
16,18,True
16,7,True
16,7,True
16,14,True
16,13,True
16,8,True
16,44,True
16,20,True
16,5,True
16,11,True
16,12,True
16,60,True
16,31,True
16,6,True
32,48,True
32,110,True
32,52,True
32,66,True
32,21,True
32,10,True
32,33,True
32,51,True
32,24,True
32,10,True
32,16,True
32,25,True
32,22,True
32,15,True
32,16,True
32,63,True
32,49,True
32,62,True
32,28,True
32,25,True
32,31,True
32,41,True
32,30,True
32,28,True
32,8,True
32,177,True
32,16,True
32,30,True
32,12,True
32,20,True
32,103,True
32,32,True
32,58,True
32,10,True
32,67,True
32,26,True
32,119,True
32,35,True
32,25,True
32,57,True
32,74,True
32,37,True
32,36,True
32,20,True
32,192,True
32,33,True
32,24,True
32,46,True
32,20,True
32,137,True
32,21,True
32,16,True
32,43,True
32,38,True
32,10,True
32,18,True
32,20,True
32,24,True
32,6,True
32,67,True
32,12,True
32,11,True
32,32,True
32,19,True
32,31,True
32,24,True
