n,tiempo,Consenso
4,3,True
4,1,True
4,2,True
4,2,True
4,2,True
4,7,True
4,1,True
4,1,True
4,3,True
4,2,True
4,3,True
4,3,True
4,1,True
4,2,True
4,1,True
4,1,True
4,7,True
4,4,True
4,18,True
4,1,True
4,2,True
4,2,True
4,3,True
4,6,True
4,1,True
4,5,True
4,8,True
4,3,True
4,1,True
4,3,True
4,2,True
4,2,True
4,1,True
4,1,True
4,2,True
4,3,True
4,1,True
4,5,True
4,1,True
4,2,True
4,1,True
4,5,True
4,3,True
4,1,True
4,1,True
4,1,True
4,3,True
4,1,True
4,6,True
4,3,True
4,5,True
4,5,True
4,9,True
4,8,True
4,1,True
4,4,True
4,2,True
4,11,True
4,2,True
4,1,True
4,1,True
4,3,True
4,5,True
4,1,True
4,1,True
4,1,True
4,3,True
4,1,True
4,6,True
4,2,True
4,5,True
4,4,True
4,7,True
4,6,True
4,2,True
4,1,True
4,1,True
4,4,True
4,2,True
4,9,True
4,1,True
4,11,True
4,14,True
4,1,True
4,5,True
4,8,True
4,1,True
4,11,True
4,34,True
4,1,True
4,3,True
4,5,True
4,10,True
4,4,True
4,5,True
4,4,True
4,2,True
4,1,True
4,1,True
4,9,True
8,140,True
8,7,True
8,24,True
8,18,True
8,57,True
8,2,True
8,13,True
8,49,True
8,31,True
8,12,True
8,213,True
8,6,True
8,3,True
8,69,True
8,1,True
8,11,True
8,22,True
8,11,True
8,16,True
8,1,True
8,85,True
8,4,True
8,56,True
8,7,True
8,8,True
8,84,True
8,99,True
8,19,True
8,72,True
8,38,True
8,45,True
8,9,True
8,86,True
8,30,True
8,22,True
8,61,True
8,13,True
8,124,True
8,35,True
8,4,True
8,4,True
8,6,True
8,108,True
8,42,True
8,48,True
8,36,True
8,17,True
8,6,True
8,9,True
8,9,True
8,21,True
8,1,True
8,57,True
8,179,True
8,105,True
8,5,True
8,9,True
8,1,True
8,25,True
8,8,True
8,42,True
8,8,True
8,61,True
8,62,True
8,77,True
8,15,True
8,40,True
8,11,True
8,15,True
8,42,True
8,57,True
8,5,True
8,11,True
8,35,True
8,1,True
8,16,True
8,24,True
8,68,True
8,206,True
8,12,True
8,42,True
8,44,True
8,18,True
8,30,True
8,2,True
8,33,True
8,23,True
8,23,True
8,22,True
8,41,True
8,1,True
8,19,True
8,5,True
8,14,True
8,93,True
8,16,True
8,51,True
8,14,True
8,65,True
8,7,True
16,20,True
16,8,True
16,21,True
16,11,True
16,6,True
16,4,True
16,2,True
16,1,True
16,32,True
16,12,True
16,5,True
16,1,True
16,29,True
16,14,True
16,11,True
16,5,True
16,12,True
16,3,True
16,12,True
16,12,True
16,2,True
16,10,True
16,64,True
16,13,True
16,12,True
16,7,True
16,5,True
16,6,True
16,15,True
16,34,True
16,5,True
16,60,True
16,18,True
16,20,True
16,4,True
16,4,True
16,12,True
16,4,True
16,2,True
16,15,True
16,5,True
16,7,True
16,4,True
16,5,True
16,8,True
16,6,True
16,2,True
16,3,True
16,15,True
16,12,True
16,16,True
16,1,True
16,20,True
16,12,True
16,3,True
16,2,True
16,30,True
16,20,True
16,4,True
16,7,True
16,45,True
16,3,True
16,4,True
16,5,True
16,2,True
16,17,True
16,1,True
16,5,True
16,1,True
16,1,True
16,3,True
16,2,True
16,11,True
16,6,True
16,6,True
16,21,True
16,7,True
16,11,True
16,4,True
16,4,True
16,16,True
16,6,True
16,16,True
16,8,True
16,3,True
16,13,True
16,11,True
16,7,True
16,10,True
16,18,True
16,39,True
16,1,True
16,14,True
16,13,True
16,3,True
16,29,True
16,5,True
16,2,True
16,12,True
16,32,True
32,18,True
32,13,True
32,6,True
32,31,True
32,19,True
32,1,True
32,4,True
32,4,True
32,10,True
32,2,True
32,2,True
32,24,True
32,16,True
32,38,True
32,5,True
32,11,True
32,14,True
32,12,True
32,6,True
32,3,True
32,2,True
32,6,True
32,11,True
32,2,True
32,21,True
32,3,True
32,2,True
32,6,True
32,6,True
32,1,True
32,3,True
32,1,True
32,6,True
32,12,True
32,4,True
32,15,True
32,12,True
32,2,True
32,2,True
32,1,True
32,4,True
32,2,True
32,11,True
32,4,True
32,15,True
32,9,True
