n,tiempo,Consenso
4,1,True
4,11,True
4,1,True
4,1,True
4,1,True
4,1,True
4,2,True
4,1,True
4,1,True
4,14,True
4,2,True
4,1,True
4,9,True
4,9,True
4,1,True
4,1,True
4,8,True
4,1,True
4,2,True
4,2,True
4,2,True
4,5,True
4,5,True
4,1,True
4,4,True
4,13,True
4,2,True
4,1,True
4,7,True
4,9,True
4,2,True
4,1,True
4,1,True
4,2,True
4,1,True
4,14,True
4,3,True
4,1,True
4,13,True
4,2,True
4,5,True
4,9,True
4,6,True
4,13,True
4,1,True
4,2,True
4,8,True
4,1,True
4,2,True
4,1,True
4,2,True
4,1,True
4,5,True
4,3,True
4,1,True
4,14,True
4,6,True
4,1,True
4,1,True
4,6,True
4,8,True
4,1,True
4,6,True
4,1,True
4,1,True
4,1,True
4,2,True
4,1,True
4,4,True
4,1,True
4,13,True
4,1,True
4,1,True
4,5,True
4,2,True
4,3,True
4,3,True
4,5,True
4,2,True
4,3,True
4,1,True
4,1,True
4,1,True
4,2,True
4,9,True
4,7,True
4,3,True
4,12,True
4,1,True
4,1,True
4,3,True
4,9,True
4,2,True
4,2,True
4,1,True
4,21,True
4,1,True
4,1,True
4,3,True
4,3,True
8,42,True
8,10,True
8,33,True
8,59,True
8,8,True
8,47,True
8,15,True
8,52,True
8,28,True
8,63,True
8,20,True
8,142,True
8,36,True
8,22,True
8,49,True
8,5,True
8,45,True
8,8,True
8,59,True
8,149,True
8,84,True
8,30,True
8,64,True
8,1,True
8,25,True
8,36,True
8,21,True
8,3,True
8,8,True
8,11,True
8,8,True
8,23,True
8,45,True
8,6,True
8,30,True
8,7,True
8,38,True
8,60,True
8,26,True
8,23,True
8,3,True
8,30,True
8,74,True
8,2,True
8,10,True
8,4,True
8,9,True
8,18,True
8,16,True
8,42,True
8,44,True
8,47,True
8,31,True
8,25,True
8,59,True
8,66,True
8,25,True
8,23,True
8,43,True
8,5,True
8,106,True
8,49,True
8,62,True
8,26,True
8,22,True
8,14,True
8,111,True
8,9,True
8,103,True
8,34,True
8,6,True
8,73,True
8,77,True
