n,tiempo,Consenso
39,4,True
39,8,True
39,2,True
39,2,True
39,9,True
39,2,True
39,2,True
39,4,True
39,2,True
39,3,True
39,2,True
39,5,True
39,7,True
39,5,True
39,8,True
39,3,True
39,4,True
39,2,True
39,2,True
39,2,True
39,8,True
39,6,True
39,4,True
39,4,True
39,6,True
39,8,True
39,4,True
39,5,True
39,4,True
39,10,True
39,2,True
39,2,True
39,2,True
39,3,True
39,5,True
39,5,True
39,2,True
39,7,True
39,8,True
39,3,True
39,4,True
39,4,True
39,11,True
39,4,True
39,5,True
39,2,True
39,4,True
39,2,True
39,4,True
39,6,True
39,2,True
39,4,True
39,2,True
39,6,True
39,3,True
39,6,True
39,2,True
39,5,True
39,7,True
39,3,True
39,10,True
39,2,True
39,6,True
39,4,True
39,3,True
39,5,True
39,7,True
39,4,True
39,2,True
39,4,True
39,4,True
39,5,True
39,2,True
39,3,True
39,2,True
39,8,True
39,7,True
39,4,True
39,2,True
39,7,True
39,2,True
39,2,True
39,5,True
39,2,True
39,3,True
39,12,True
39,2,True
39,6,True
39,6,True
39,3,True
39,7,True
39,10,True
39,2,True
39,4,True
39,5,True
39,7,True
39,2,True
39,4,True
39,4,True
39,7,True
40,2,True
40,6,True
40,3,True
40,4,True
40,4,True
40,4,True
40,2,True
40,2,True
40,6,True
40,2,True
40,6,True
40,2,True
40,5,True
40,3,True
40,8,True
40,9,True
40,6,True
40,3,True
40,5,True
40,2,True
40,4,True
40,7,True
40,9,True
40,5,True
40,3,True
40,2,True
40,2,True
40,4,True
40,4,True
40,2,True
40,2,True
40,4,True
40,3,True
40,4,True
40,4,True
40,4,True
40,3,True
40,2,True
40,4,True
40,6,True
40,2,True
40,3,True
40,5,True
40,2,True
40,3,True
40,2,True
40,7,True
40,3,True
40,4,True
40,2,True
40,4,True
40,4,True
40,5,True
40,2,True
40,2,True
40,3,True
40,6,True
40,3,True
40,5,True
40,5,True
40,3,True
40,4,True
40,3,True
40,5,True
40,2,True
40,2,True
40,7,True
40,2,True
40,2,True
40,7,True
40,2,True
40,2,True
40,5,True
40,2,True
40,7,True
40,3,True
40,7,True
40,2,True
40,5,True
40,5,True
40,6,True
40,2,True
40,4,True
40,2,True
40,4,True
40,2,True
40,2,True
40,7,True
40,5,True
40,4,True
40,2,True
40,2,True
40,3,True
40,3,True
40,4,True
40,5,True
40,2,True
40,2,True
40,3,True
40,2,True
41,4,True
41,2,True
41,2,True
41,2,True
41,2,True
