n,tiempo,Consenso
4,13,True
4,8,True
4,1,True
4,22,True
4,22,True
4,1,True
4,1,True
4,4,True
4,12,True
4,5,True
4,3,True
4,1,True
4,2,True
4,5,True
4,1,True
4,11,True
4,1,True
4,10,True
4,14,True
4,4,True
4,1,True
4,6,True
4,1,True
4,15,True
4,2,True
4,1,True
4,1,True
4,8,True
4,3,True
4,28,True
4,19,True
4,1,True
4,3,True
4,8,True
4,2,True
4,1,True
4,8,True
4,1,True
4,3,True
4,2,True
4,4,True
4,8,True
4,1,True
4,15,True
4,16,True
4,4,True
4,4,True
4,3,True
4,1,True
4,8,True
4,2,True
4,17,True
4,7,True
4,1,True
4,1,True
4,1,True
4,1,True
4,2,True
4,1,True
4,8,True
4,1,True
4,3,True
4,8,True
4,1,True
4,5,True
4,2,True
4,1,True
4,2,True
4,1,True
4,6,True
4,2,True
4,9,True
4,12,True
4,1,True
4,4,True
4,2,True
4,13,True
4,1,True
4,1,True
4,6,True
4,2,True
4,3,True
4,2,True
4,6,True
4,5,True
4,11,True
4,1,True
4,13,True
4,1,True
4,1,True
4,6,True
4,21,True
4,8,True
4,5,True
4,7,True
4,4,True
4,11,True
4,9,True
4,10,True
4,1,True
8,78,True
8,212,True
8,137,True
8,530,True
8,464,True
8,735,True
8,110,True
8,560,True
8,678,True
8,448,True
8,173,True
8,569,True
8,604,True
8,158,True
8,977,True
8,338,True
8,537,True
8,56,True
8,515,True
8,178,True
8,933,True
8,716,True
8,271,True
8,221,True
8,244,True
8,208,True
8,48,True
8,148,True
8,1000,False
8,895,True
8,816,True
8,1000,False
8,105,True
8,683,True
8,439,True
8,1000,False
8,494,True
8,701,True
8,704,True
8,462,True
8,408,True
8,689,True
8,1,True
8,17,True
8,443,True
8,1000,False
8,68,True
8,297,True
8,326,True
8,350,True
8,153,True
8,258,True
8,1000,False
8,1000,False
8,1,True
8,116,True
8,789,True
8,1000,False
8,92,True
8,281,True
8,190,True
8,1000,False
8,28,True
8,15,True
8,828,True
8,429,True
8,801,True
8,185,True
8,189,True
8,415,True
8,431,True
8,320,True
8,139,True
8,142,True
8,429,True
8,110,True
8,411,True
8,1000,False
8,985,True
8,1000,False
8,66,True
8,78,True
8,605,True
8,794,True
8,366,True
8,643,True
8,5,True
8,1,True
8,1000,False
8,365,True
8,562,True
8,538,True
8,10,True
8,938,True
8,218,True
8,18,True
8,274,True
8,960,True
8,98,True
8,96,True
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
