n,tiempo,Consenso
4,1,True
4,3,True
4,3,True
4,6,True
4,1,True
4,6,True
4,2,True
4,16,True
4,1,True
4,5,True
4,4,True
4,10,True
4,11,True
4,6,True
4,10,True
4,4,True
4,1,True
4,1,True
4,1,True
4,9,True
4,7,True
4,5,True
4,8,True
4,5,True
4,2,True
4,2,True
4,1,True
4,7,True
4,2,True
4,1,True
4,3,True
4,11,True
4,4,True
4,1,True
4,10,True
4,19,True
4,2,True
4,15,True
4,6,True
4,1,True
4,1,True
4,3,True
4,15,True
4,4,True
4,2,True
4,3,True
4,4,True
4,6,True
4,4,True
4,7,True
4,1,True
4,1,True
4,8,True
4,1,True
4,1,True
4,8,True
4,9,True
4,1,True
4,8,True
4,3,True
4,4,True
4,12,True
4,2,True
4,1,True
4,6,True
4,16,True
4,2,True
4,5,True
4,1,True
4,4,True
4,18,True
4,5,True
4,3,True
4,2,True
4,11,True
4,4,True
4,12,True
4,7,True
4,2,True
4,12,True
4,1,True
4,32,True
4,11,True
4,5,True
4,3,True
4,4,True
4,1,True
4,2,True
4,1,True
4,2,True
4,1,True
4,3,True
4,1,True
4,18,True
4,1,True
4,12,True
4,3,True
4,12,True
4,1,True
4,2,True
8,182,True
8,97,True
8,932,True
8,1,True
8,15,True
8,376,True
8,160,True
8,507,True
8,32,True
8,158,True
8,541,True
8,1000,False
8,270,True
8,149,True
8,107,True
8,287,True
8,117,True
8,779,True
8,56,True
8,96,True
8,65,True
8,687,True
8,53,True
8,153,True
8,11,True
8,1,True
8,376,True
8,234,True
8,489,True
8,60,True
8,58,True
8,1000,False
8,263,True
8,412,True
8,26,True
8,71,True
8,1000,False
8,796,True
8,1000,False
8,137,True
8,239,True
8,291,True
8,352,True
8,11,True
8,316,True
8,841,True
8,200,True
8,1000,False
8,227,True
8,490,True
8,1000,False
8,292,True
8,440,True
8,258,True
8,216,True
8,141,True
8,2,True
8,1000,False
8,236,True
8,1000,False
8,363,True
8,265,True
8,1000,False
8,15,True
8,1000,False
8,39,True
8,196,True
8,381,True
8,88,True
8,602,True
8,172,True
8,15,True
8,731,True
8,13,True
8,362,True
8,992,True
8,303,True
8,293,True
8,7,True
8,1000,False
8,359,True
8,1000,False
8,638,True
8,192,True
8,530,True
8,106,True
8,457,True
8,1000,False
8,1000,False
8,174,True
8,792,True
8,134,True
8,126,True
8,379,True
8,687,True
8,231,True
8,144,True
8,528,True
8,121,True
8,843,True
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
16,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
32,1000,False
